user,peak_date,generic_score,hybrid_score,generic_peak_score,hybrid_rank,generic_rank,top_reasons
FMG0527,2010-12-30,3.361384105038091,2.3451517011893657,3.361384105038091,28,22,usb_file_count=11 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=5 (z=6.00)
HFB0347,2010-06-05,2.878588672347316,2.3241955127885627,2.878588672347316,29,41,after_hours_device_count=2 (z=6.00); job_site_count=2 (z=5.43); after_hours_logon_count=1 (z=5.39)
LIM0674,2011-01-05,3.3242290726392394,2.31922958556226,3.3242290726392394,30,23,usb_file_count=4 (z=7.98); after_hours_device_count=1 (z=6.00); file_count=4 (z=7.29)
AAM0658,2010-10-27,3.243926875568649,2.2632047969083597,3.243926875568649,31,25,usb_file_count=9 (z=7.11); after_hours_file_count=9 (z=7.11); after_hours_logon_count=1 (z=5.39)
JMB0308,2010-07-12,3.2210634302665473,2.247253555999917,3.2210634302665473,32,26,usb_file_count=10 (z=6.00); after_hours_device_count=3 (z=6.00); after_hours_file_count=8 (z=6.00)
GCL0016,2011-01-01,2.5205795568798233,2.246915969916156,3.09803585190123,33,29,usb_executable_count=1 (z=6.00); after_hours_file_count=5 (z=7.68); after_hours_device_count=2 (z=5.14)
JTM0223,2010-07-22,2.517687233786027,2.2448980700832744,2.517687233786027,34,56,usb_file_count=1 (z=6.00); usb_executable_count=1 (z=6.00); after_hours_device_count=1 (z=6.00)
LQC0479,2010-09-14,3.0907647261839055,2.242799874770306,3.0907647261839055,35,31,usb_file_count=22 (z=6.00); after_hours_logon_count=2 (z=6.00); after_hours_device_count=7 (z=6.00)
PNH0761,2011-02-25,2.507505606528073,2.2377946092056327,2.507505606528073,36,58,usb_executable_count=1 (z=6.00); after_hours_device_count=1 (z=6.00); after_hours_file_count=2 (z=6.00)
BLS0678,2010-09-17,3.1696493295367376,2.211383253165166,3.1696493295367376,37,27,usb_file_count=5 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00)
NGC0058,2011-03-05,3.0977275101845145,2.161205239663615,3.0977275101845145,38,30,usb_file_count=8 (z=6.16); after_hours_device_count=1 (z=7.68); after_hours_file_count=8 (z=6.00)
ILJ0526,2010-04-17,3.0754630523730566,2.1456718970044584,3.0754630523730566,39,32,after_hours_logon_count=2 (z=10.00); after_hours_file_count=7 (z=10.00); after_hours_device_count=1 (z=7.68)
EHB0824,2010-07-20,3.0362376052494553,2.118305305987992,3.0362376052494553,40,33,usb_file_count=14 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=9 (z=6.00)
AHM0410,2010-05-22,3.0327084504077617,2.1158431049356476,3.0327084504077617,41,34,after_hours_device_count=1 (z=7.68); after_hours_logon_count=2 (z=7.68); after_hours_file_count=7 (z=8.22)
MCD0125,2010-03-27,2.3316595083870757,2.1151112849212157,2.3316595083870757,42,71,usb_executable_count=1 (z=6.00); after_hours_file_count=13 (z=10.00); after_hours_device_count=1 (z=7.68)
EHD0584,2010-10-01,3.009174489610817,2.0994240625191747,3.009174489610817,43,35,usb_file_count=7 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=1 (z=6.00)
BJM0111,2011-03-06,2.7202555662398,2.0982598064793483,2.7202555662398,44,46,after_hours_device_count=8 (z=8.69); after_hours_file_count=21 (z=7.37); after_hours_http_count=1 (z=7.68)
RUM0880,2011-03-01,2.4680456715953096,2.0766864290756195,2.4680456715953096,45,60,after_hours_device_count=2 (z=10.00); after_hours_file_count=10 (z=8.00); usb_executable_count=1 (z=4.36)
ATP0662,2011-01-15,2.605474464347792,2.074075753566093,2.605474464347792,46,52,after_hours_file_count=6 (z=10.00); after_hours_device_count=1 (z=7.68); leak_site_count=1 (z=3.15)
IBS0836,2010-05-08,2.9372170411834237,2.049221191523319,2.9372170411834237,47,38,after_hours_device_count=2 (z=8.64); external_attachment_email_count=1 (z=5.39); after_hours_file_count=4 (z=6.55)
FOB0756,2010-05-02,2.9360600265480024,2.048413972010234,2.9360600265480024,48,39,usb_file_count=5 (z=5.86); after_hours_device_count=1 (z=7.68); after_hours_file_count=5 (z=6.00)
RAB0589,2010-09-11,2.915831624764593,2.0343011335566925,2.915831624764593,49,40,usb_file_count=2 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00)
HRB0351,2010-08-29,2.6532787228795187,2.029022911851434,2.6532787228795187,50,50,after_hours_device_count=1 (z=7.68); after_hours_file_count=27 (z=8.42); after_hours_logon_count=1 (z=3.15)
NGF0157,2010-05-02,2.8717583504593507,2.0035523375297797,2.8717583504593507,51,42,after_hours_file_count=8 (z=10.00); after_hours_device_count=1 (z=7.68); usb_file_count=8 (z=2.52)
RAW0915,2011-05-07,2.8192692272434745,1.9669320190070754,2.8192692272434745,52,43,after_hours_device_count=2 (z=8.64); after_hours_file_count=4 (z=8.94); after_hours_logon_count=2 (z=6.48)
JGT0221,2010-07-15,2.1081005028134,1.9591398856837676,2.1081005028134,53,86,usb_file_count=1 (z=6.00); usb_executable_count=1 (z=6.00); file_count=1 (z=6.00)
TDS0984,2011-01-30,2.4441126089088425,1.950857837612061,2.4441126089088425,54,62,after_hours_device_count=1 (z=7.68); after_hours_file_count=24 (z=7.68); after_hours_logon_count=2 (z=3.00)
THR0873,2010-12-21,2.783477626220847,1.9419611345726842,2.783477626220847,55,44,after_hours_device_count=2 (z=10.00); after_hours_file_count=14 (z=10.00); after_hours_logon_count=1 (z=5.39)
DMK0257,2010-06-28,1.8725509030944611,1.9316404002412548,2.0734323622427095,56,90,usb_executable_count=1 (z=7.68); after_hours_device_count=2 (z=6.00); after_hours_file_count=9 (z=6.00)
BBS0039,2010-08-12,2.059720398796433,1.9253863247416976,2.059720398796433,57,92,usb_file_count=1 (z=6.00); usb_executable_count=1 (z=6.00); after_hours_device_count=1 (z=6.00)
SBH0537,2011-02-26,2.7379326192450235,1.9101855483104815,2.7379326192450235,58,45,after_hours_device_count=2 (z=6.00); usb_file_count=7 (z=3.46); after_hours_file_count=7 (z=6.00)
JMD0520,2010-10-28,2.6885775703957457,1.8757517932993577,2.6885775703957457,59,48,after_hours_device_count=2 (z=8.64); after_hours_file_count=12 (z=10.00); after_hours_logon_count=1 (z=5.39)
KKW0879,2010-08-01,1.7675846200761285,1.8584081097633485,2.4065314020607733,60,66,leak_site_count=1 (z=7.68); after_hours_device_count=9 (z=5.15); after_hours_file_count=7 (z=5.43)
JDF0593,2010-06-05,2.6534645970240827,1.851254370016802,2.6534645970240827,61,49,after_hours_device_count=9 (z=6.17); after_hours_file_count=5 (z=6.00); after_hours_email_count=1 (z=7.68)
PPF0435,2011-02-02,2.1732541888570767,1.8429249034259565,2.630082334369245,62,51,after_hours_device_count=9 (z=8.06); after_hours_logon_count=1 (z=7.68); job_site_count=3 (z=5.62)
BAJ0654,2010-09-27,2.0872119367294175,1.8109884745180207,2.129438379826409,63,84,usb_executable_count=1 (z=4.36); after_hours_device_count=1 (z=6.00); after_hours_file_count=25 (z=7.36)
HRL0540,2010-06-17,0.7690961715536334,1.7869977995741688,1.4559178557804844,64,159,leak_site_count=1 (z=7.68); usb_executable_count=1 (z=7.68); after_hours_device_count=3 (z=1.38)
NMS0280,2010-12-19,2.560957947989079,1.7867148474342414,2.560957947989079,65,53,after_hours_device_count=1 (z=7.68); usb_file_count=6 (z=4.06); after_hours_file_count=6 (z=6.00)
BWP0202,2010-04-05,2.5570628738323875,1.7839973538365494,2.5570628738323875,66,54,after_hours_device_count=1 (z=6.00); after_hours_file_count=9 (z=6.00); usb_file_count=9 (z=2.99)
RGG0064,2010-10-18,2.529589366740882,1.7648297907494526,2.529589366740882,67,55,usb_file_count=12 (z=6.00); after_hours_device_count=3 (z=6.00); after_hours_file_count=12 (z=6.00)
VFM0814,2010-01-22,2.517355547327933,1.756294567903209,2.517355547327933,68,57,usb_file_count=5 (z=10.00); file_count=5 (z=10.00); unique_file_count=5 (z=10.00)
CLB0774,2010-06-21,2.0075355405242354,1.7494434003657455,2.151215266112367,69,81,after_hours_device_count=3 (z=6.86); job_site_count=1 (z=6.00); after_hours_file_count=10 (z=6.70)
SBN0866,2010-08-04,2.5019477825328025,1.7455449645577692,2.5019477825328025,70,59,after_hours_logon_count=1 (z=7.68); after_hours_device_count=1 (z=6.00); after_hours_file_count=2 (z=6.00)
FKK0055,2011-01-09,2.4550597542411055,1.7128323866798412,2.4550597542411055,71,61,after_hours_file_count=8 (z=9.60); usb_file_count=8 (z=3.75); after_hours_device_count=1 (z=4.36)
SBN0971,2010-09-25,1.8191675439349506,1.7075140265818438,2.284005290536108,72,72,usb_executable_count=1 (z=5.39); after_hours_file_count=10 (z=4.79); after_hours_device_count=1 (z=3.74)
HAD0246,2011-01-22,2.4279297299738882,1.6939044627724802,2.4279297299738882,73,63,after_hours_file_count=6 (z=10.00); after_hours_device_count=3 (z=7.75); usb_file_count=6 (z=3.21)
MOH0273,2010-05-01,2.4197152118533336,1.688173403618605,2.4197152118533336,74,64,after_hours_device_count=8 (z=5.56); after_hours_logon_count=1 (z=5.39); after_hours_email_count=5 (z=7.86)
AJD0074,2010-05-22,2.411074106354159,1.6821447253633668,2.411074106354159,75,65,after_hours_file_count=2 (z=10.00); after_hours_device_count=2 (z=7.68); after_hours_email_count=7 (z=3.71)
CSC0217,2010-06-10,1.703764438339073,1.6770449569807486,1.703764438339073,76,127,usb_file_count=1 (z=6.00); usb_executable_count=1 (z=6.00); file_count=1 (z=6.00)
IIW0249,2010-07-17,1.9659784167441845,1.6761663571170773,2.277189482888614,77,73,after_hours_file_count=5 (z=10.00); leak_site_count=1 (z=3.74); after_hours_device_count=8 (z=2.93)
HPH0075,2011-02-26,1.2446795204666967,1.6741967166243064,1.8198884184306996,78,112,leak_site_count=2 (z=8.64); after_hours_logon_count=2 (z=3.06); after_hours_device_count=7 (z=2.59)
JCR0172,2011-01-15,2.385886108903935,1.6645717038864662,2.385886108903935,79,67,after_hours_device_count=1 (z=6.00); after_hours_file_count=6 (z=6.00); after_hours_logon_count=2 (z=4.08)
MLM0950,2010-09-19,2.384633459913264,1.663697762730184,2.384633459913264,80,68,external_attachment_email_count=1 (z=5.39); after_hours_email_count=1 (z=7.68); after_hours_device_count=3 (z=3.57)
RLG0856,2010-05-10,2.3701783399989256,1.6536127953480877,2.3701783399989256,81,69,after_hours_device_count=1 (z=6.00); after_hours_file_count=6 (z=6.00); after_hours_logon_count=1 (z=4.36)
JDC0030,2010-04-11,2.370090475088967,1.6535514942481164,2.370090475088967,82,70,after_hours_device_count=2 (z=10.00); after_hours_file_count=7 (z=7.61); usb_file_count=7 (z=2.35)
AJN0607,2010-04-28,0.7085914022524024,1.6079477252351675,0.8823186196903147,83,444,leak_site_count=1 (z=7.68); usb_executable_count=1 (z=6.00); external_attachment_email_count=3 (z=1.91)
CCM0136,2011-01-18,1.6032162741920892,1.6068950750177367,1.7193661881066404,84,122,usb_file_count=4 (z=6.55); usb_executable_count=1 (z=6.00); file_count=4 (z=6.55)
CCA0046,2010-10-14,0.973834778246033,1.6061190737756221,1.3640830147536604,85,179,keylogger_site_count=1 (z=6.00); usb_executable_count=1 (z=5.39); after_hours_http_count=1 (z=6.00)
NDM0417,2010-09-02,0.6818426068230687,1.6017204129412748,0.9073301227535077,86,434,usb_executable_count=1 (z=7.68); job_site_count=1 (z=5.39); leak_site_count=1 (z=2.31)
ESJ0670,2011-02-26,2.268074530106689,1.5823775791442016,2.268074530106689,87,74,after_hours_device_count=2 (z=10.00); after_hours_file_count=23 (z=7.68); usb_file_count=23 (z=2.06)
JHP0583,2011-01-15,2.251042768978104,1.5704949551010026,2.251042768978104,88,75,external_attachment_email_count=1 (z=7.68); after_hours_logon_count=3 (z=2.98); after_hours_file_count=4 (z=3.59)
NAF0326,2010-01-31,1.641775168852811,1.5683671754664545,1.641775168852811,89,133,usb_executable_count=1 (z=5.20); after_hours_file_count=11 (z=4.52); after_hours_device_count=3 (z=3.20)
LBF0214,2011-01-29,1.3351044558273226,1.5566777626130188,1.5807636089881356,90,138,usb_executable_count=1 (z=7.68); after_hours_device_count=4 (z=3.94); after_hours_file_count=9 (z=2.93)
EMW0772,2010-06-14,1.5306007649082585,1.5562330917964595,1.547535018711848,91,143,usb_executable_count=1 (z=6.00); usb_file_count=3 (z=4.18); external_attachment_email_count=1 (z=3.00)
GZC0735,2010-04-10,2.2300192047319882,1.5558273521385966,2.2300192047319882,92,76,after_hours_device_count=1 (z=6.00); after_hours_file_count=2 (z=6.00); after_hours_logon_count=2 (z=4.36)
BVC0790,2010-04-18,1.5221042029859337,1.550305257897163,2.022766502104233,93,95,usb_executable_count=1 (z=6.00); after_hours_device_count=4 (z=3.82); after_hours_file_count=7 (z=3.94)
IKP0472,2011-03-26,1.580005982826613,1.5406571234830038,1.8173551898618747,94,114,usb_executable_count=1 (z=5.39); after_hours_file_count=8 (z=5.17); usb_file_count=8 (z=1.97)
HWW0436,2010-09-27,2.1908782454419145,1.528519706122266,2.1908782454419145,95,77,after_hours_device_count=1 (z=6.00); after_hours_http_count=2 (z=10.00); after_hours_logon_count=1 (z=5.39)
BRB0355,2010-07-17,2.1822422297522395,1.5224945788969115,2.1822422297522395,96,78,after_hours_file_count=6 (z=8.56); usb_file_count=6 (z=2.08); external_attachment_email_count=3 (z=2.59)
PMV0850,2010-01-20,2.1799179354305656,1.5208729782073713,2.1799179354305656,97,79,after_hours_file_count=8 (z=10.00); usb_file_count=8 (z=3.73); after_hours_device_count=1 (z=3.87)
CHM0821,2010-09-16,1.4780113523516059,1.5195428039662366,1.9004436384133392,98,105,usb_executable_count=1 (z=6.00); after_hours_file_count=4 (z=10.00); after_hours_device_count=1 (z=6.00)
EIS0041,2010-05-06,0.7678513743024743,1.5157138988141095,1.1196461757887173,99,285,leak_site_count=1 (z=7.68); usb_executable_count=1 (z=4.36); usb_file_count=18 (z=1.19)
CQH0701,2010-11-03,2.163839622809627,1.509655550797414,2.163839622809627,100,80,usb_file_count=8 (z=5.83); external_attachment_email_count=1 (z=5.39); file_count=8 (z=5.83)
CCC0393,2010-04-30,1.512612606684444,1.5018893620977871,1.512612606684444,101,148,job_site_count=1 (z=7.68); after_hours_http_count=2 (z=10.00); external_attachment_email_count=2 (z=4.95)
RHO0732,2010-03-05,2.1467545645212414,1.4977357426892381,2.1467545645212414,102,82,after_hours_device_count=2 (z=10.00); after_hours_file_count=5 (z=6.00); after_hours_logon_count=1 (z=2.05)
FFC0891,2010-03-01,2.1434516873110927,1.495431409751925,2.1434516873110927,103,83,after_hours_file_count=6 (z=10.00); after_hours_device_count=1 (z=7.42); after_hours_logon_count=1 (z=4.20)
SCP0130,2010-06-03,1.2367043731054534,1.488026542109389,1.265772617438564,104,210,usb_executable_count=1 (z=7.68); external_attachment_email_count=2 (z=7.04); external_email_count=3 (z=2.67)
ATE0869,2011-02-13,2.1270209126789434,1.4839680786132163,2.1270209126789434,105,85,after_hours_file_count=7 (z=7.74); after_hours_device_count=1 (z=4.36); usb_file_count=7 (z=2.69)
XAA0104,2011-01-04,1.149486815547841,1.4780553926242233,1.442410522709524,106,162,usb_executable_count=1 (z=6.00); usb_file_count=4 (z=3.51); leak_site_count=1 (z=2.31)
BRS0734,2010-04-10,1.6715356052778458,1.4707411398149808,1.6800973356352362,107,129,usb_executable_count=1 (z=3.74); after_hours_device_count=2 (z=4.37); after_hours_logon_count=1 (z=3.74)
GNS0178,2010-07-22,2.104357937038924,1.4681567002597145,2.104357937038924,108,88,after_hours_device_count=1 (z=6.00); after_hours_file_count=24 (z=6.00); after_hours_logon_count=1 (z=3.74)
OBH0499,2010-03-07,1.418842159656936,1.4677854455002552,1.8510277221078948,109,107,job_site_count=3 (z=8.22); after_hours_file_count=3 (z=5.61); after_hours_device_count=9 (z=2.26)
ESH0283,2010-06-28,0.7565109327380967,1.4660988399423094,1.0843568481218009,110,312,usb_executable_count=1 (z=7.68); job_site_count=1 (z=5.39); usb_file_count=18 (z=1.82)
IEB0153,2010-07-04,1.6009707437847995,1.4657935421754416,1.6009707437847995,111,135,after_hours_logon_count=1 (z=7.68); after_hours_email_count=2 (z=10.00); job_site_count=1 (z=6.00)
ELB0847,2010-02-17,1.5996225914626292,1.4648529707878808,1.5996225914626292,112,136,after_hours_logon_count=1 (z=6.00); job_site_count=1 (z=6.00); external_email_size=30416 (z=6.62)
HDH0928,2010-07-16,1.1950416703942912,1.4589595402178805,1.7734345333835397,113,116,usb_executable_count=1 (z=7.68); after_hours_device_count=1 (z=6.00); after_hours_file_count=2 (z=4.71)
PAD0773,2010-12-08,1.0352309316073491,1.4559488879281306,1.5126686469120685,114,147,usb_executable_count=1 (z=7.68); usb_file_count=27 (z=3.03); file_count=27 (z=3.03)
BMG0917,2010-10-01,2.0824281755843805,1.4528568666867774,2.0824281755843805,115,89,external_attachment_email_count=2 (z=10.00); after_hours_logon_count=1 (z=3.74); after_hours_device_count=1 (z=3.01)
IBB0696,2010-08-17,1.1860759468116782,1.4527043842300111,1.4118184070504494,116,166,usb_executable_count=1 (z=7.68); external_attachment_email_count=1 (z=5.39); external_email_size=30242 (z=3.04)
ICH0294,2010-11-03,1.0692957095895756,1.4495942581128018,1.4598530964016414,117,157,usb_executable_count=2 (z=8.64); external_attachment_email_count=1 (z=4.36); external_email_count=1 (z=3.00)
HVF0067,2010-03-10,0.6059211897657554,1.4424584306498471,0.8286441505816392,118,486,job_site_count=2 (z=10.00); usb_executable_count=1 (z=5.39); external_attachment_email_count=2 (z=1.85)
ZJE0857,2010-11-06,2.0628187295307967,1.4391758578121838,2.0628187295307967,119,91,after_hours_logon_count=2 (z=10.00); after_hours_email_count=9 (z=9.11); after_hours_http_count=5 (z=7.06)
KMB0922,2011-05-06,1.1646379406700227,1.4377476357590886,2.0001620608097106,120,97,usb_executable_count=1 (z=7.68); after_hours_logon_count=1 (z=3.32); usb_file_count=11 (z=2.15)
AOK0844,2010-02-27,1.1946242039789625,1.4371028098652023,1.5722784985951925,121,142,usb_executable_count=1 (z=7.42); after_hours_device_count=2 (z=2.71); after_hours_logon_count=3 (z=2.36)
WIQ0567,2011-04-03,1.8283447276198903,1.4364338119429416,1.8283447276198903,122,111,after_hours_device_count=3 (z=5.78); after_hours_file_count=8 (z=5.22); after_hours_logon_count=2 (z=2.18)
SAA0999,2011-01-05,2.0586057592425906,1.436236576215761,2.0586057592425906,123,93,after_hours_device_count=1 (z=7.68); after_hours_email_count=5 (z=10.00); external_attachment_email_count=4 (z=3.21)
BDI0533,2011-03-13,1.162195591045833,1.4360436709050028,1.5741729646238485,124,140,usb_executable_count=1 (z=7.68); after_hours_logon_count=2 (z=2.76); after_hours_file_count=8 (z=2.76)
ABC0174,2010-11-20,2.0549871166795257,1.4337119418694366,2.0549871166795257,125,94,after_hours_device_count=4 (z=7.29); after_hours_logon_count=2 (z=3.74); after_hours_email_count=11 (z=4.83)
IJM0444,2010-08-20,1.546205176625299,1.4335418977011938,1.5933305675947789,126,137,after_hours_logon_count=1 (z=7.68); usb_executable_count=1 (z=4.36); after_hours_http_count=2 (z=6.00)
RRC0553,2010-02-20,1.3343592081844167,1.4193203778030814,1.7084501529115883,127,124,leak_site_count=2 (z=6.00); after_hours_device_count=2 (z=3.46); after_hours_logon_count=2 (z=2.84)
BRM0995,2011-05-10,1.1305349672946798,1.4139548636367563,1.7393259475462115,128,120,leak_site_count=1 (z=7.68); usb_file_count=7 (z=2.22); after_hours_file_count=2 (z=2.60)
KBG0549,2011-05-09,1.3266657944592222,1.4139528798552712,1.4242771949468416,129,164,usb_executable_count=1 (z=6.00); usb_file_count=9 (z=4.07); file_count=9 (z=4.07)
FEB0306,2010-11-18,1.1214502922318628,1.4076167182440933,1.5263827759892277,130,146,usb_executable_count=1 (z=7.68); external_attachment_email_count=1 (z=3.32); usb_file_count=11 (z=1.80)
AIP0982,2010-10-01,0.6782667012232134,1.402497433391212,0.8994776732925164,131,437,usb_executable_count=1 (z=5.39); job_site_count=3 (z=5.00); leak_site_count=1 (z=2.46)
RDT0424,2010-01-26,0.8482125439713588,1.398733868808557,1.0608735922059633,132,329,leak_site_count=3 (z=6.64); job_site_count=1 (z=4.58); usb_file_count=4 (z=1.71)
AJH0175,2010-11-11,1.0502762584300462,1.3984547312513658,1.798501594613266,133,115,usb_executable_count=1 (z=7.68); usb_file_count=6 (z=3.02); file_count=6 (z=3.02)
WXH0872,2010-05-18,2.0042040163556196,1.3982818718760137,2.0042040163556196,134,96,after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00); after_hours_file_count=4 (z=6.00)
CAA0612,2010-03-26,0.7352155203461157,1.39784666988432,1.310901020249968,135,191,job_site_count=1 (z=7.68); usb_executable_count=1 (z=5.39); usb_file_count=11 (z=1.99)
AMR0318,2011-01-26,1.301618677299083,1.3964781469528487,1.9419008298522733,136,100,usb_executable_count=1 (z=6.00); usb_file_count=9 (z=5.03); file_count=9 (z=5.03)
NOB0181,2011-02-27,1.1013419629579042,1.3935876513087735,1.7545951301268714,137,119,usb_executable_count=1 (z=7.68); after_hours_file_count=8 (z=2.65); external_attachment_email_count=1 (z=2.07)
LRR0148,2010-08-29,1.9970257020857007,1.3932737456411868,1.9970257020857007,138,98,after_hours_file_count=6 (z=8.87); after_hours_device_count=2 (z=3.85); usb_file_count=6 (z=1.72)
IJM0776,2010-03-29,1.0966001466493616,1.3902794073725808,1.0966001466493616,139,303,usb_executable_count=1 (z=7.68); external_attachment_email_count=2 (z=6.09); usb_file_count=4 (z=1.50)
LCC0819,2010-07-28,1.09225680711783,1.3872491704901169,1.3542772010505824,140,180,usb_executable_count=1 (z=7.68); after_hours_device_count=1 (z=5.39); usb_file_count=5 (z=1.62)
VCC0396,2010-09-15,1.9778497508843331,1.3798951750355812,1.9778497508843331,141,99,after_hours_device_count=1 (z=6.00); after_hours_file_count=1 (z=6.00); after_hours_http_count=2 (z=4.53)
BAL0044,2011-02-18,1.076073697597263,1.3759586289641397,1.2252256045890617,142,224,usb_executable_count=1 (z=7.68); usb_file_count=23 (z=1.71); after_hours_file_count=31 (z=2.57)
ILH0958,2011-04-05,0.9573402351082269,1.371485787544419,1.5749947595368285,143,139,usb_executable_count=2 (z=8.64); usb_file_count=27 (z=2.18); external_email_size=56141 (z=2.43)
RSM0277,2011-04-12,1.090357056690871,1.3521042351080816,1.7078545960779687,144,125,usb_executable_count=1 (z=6.00); usb_file_count=7 (z=3.38); file_count=7 (z=3.22)
