user,peak_date,generic_score,hybrid_score,generic_peak_score,hybrid_rank,generic_rank,top_reasons,peak_month,role,functional_unit,department,team,ldap_month
MAS0025,2010-09-28,3.9447111803482007,2.7521240793126984,3.9447111803482007,11,8,usb_file_count=20 (z=8.26); after_hours_logon_count=1 (z=7.68); after_hours_device_count=4 (z=6.89),2010-09,InstructionalCoordinator,1 - Adminstration,3 - Training,,2010-09
WDD0366,2011-02-28,3.919752496332389,2.7347110439528293,3.919752496332389,12,9,usb_file_count=4 (z=10.00); after_hours_file_count=4 (z=10.00); file_count=4 (z=10.00),2011-02,ITAdmin,1 - Adminstration,6 - Security,3 - ElectronicSecurity,2011-02
BIH0745,2010-07-02,3.9093194765393506,2.727432192934431,3.9093194765393506,13,10,usb_file_count=13 (z=7.68); after_hours_logon_count=1 (z=7.68); after_hours_device_count=3 (z=7.68),2010-07,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,2010-06
GHL0460,2010-11-12,3.886217479960831,2.7113145209029055,3.886217479960831,14,11,usb_file_count=19 (z=7.33); after_hours_device_count=6 (z=8.56); after_hours_file_count=19 (z=7.33),2010-11,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,2010-10
QJR0688,2010-05-30,3.8757803066830916,2.7040327721044823,3.8757803066830916,15,12,after_hours_logon_count=2 (z=10.00); after_hours_device_count=2 (z=10.00); after_hours_file_count=9 (z=10.00),2010-05,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,2010-05
DCH0843,2011-01-29,3.865706118789761,2.697004268923089,3.865706118789761,16,13,usb_file_count=11 (z=8.30); after_hours_logon_count=1 (z=7.68); after_hours_device_count=5 (z=7.06),2011-01,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,2011-01
LJR0523,2010-07-29,3.819410783452478,2.664705197757543,3.819410783452478,17,14,usb_file_count=3 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00),2010-07,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,2010-07
TAP0551,2010-11-02,3.6734148977614267,2.656173287435592,3.6734148977614267,18,15,usb_file_count=11 (z=7.96); after_hours_device_count=2 (z=7.04); after_hours_file_count=11 (z=7.96),2010-11,Physicist,2 - ResearchAndEngineering,1 - Research,3 - Lab,2010-10
BBS0422,2010-11-20,2.872955372388803,2.5962746548200575,2.9714141987522846,19,36,after_hours_device_count=2 (z=10.00); after_hours_file_count=5 (z=10.00); job_site_count=3 (z=7.75),2010-11,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,2010-11
MPT0376,2010-04-17,3.498278290458355,2.5374163417251645,3.498278290458355,20,17,after_hours_file_count=4 (z=10.00); after_hours_logon_count=2 (z=7.68); after_hours_device_count=1 (z=7.68),2010-04,Mathematician,2 - ResearchAndEngineering,1 - Research,2 - Lab,2010-04
HJB0742,2010-11-16,3.3884688851482316,2.524499377949533,3.3884688851482316,21,19,usb_file_count=3 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=3 (z=6.00),2010-11,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,2010-11
AJR0932,2010-09-16,3.580323087044935,2.497899828170885,3.580323087044935,22,16,usb_file_count=23 (z=7.58); after_hours_device_count=9 (z=7.68); after_hours_file_count=23 (z=7.58),2010-09,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,2010-09
MSO0222,2010-12-09,2.7113010833768136,2.481646053512517,2.7113010833768136,23,47,usb_file_count=1 (z=6.00); usb_executable_count=1 (z=6.00); after_hours_device_count=1 (z=6.00),2010-12,ITAdmin,1 - Adminstration,6 - Security,2 - ElectronicSecurity,2010-11
JLM0364,2011-04-28,2.105478768076783,2.445682861448918,2.105478768076783,24,87,usb_file_count=1 (z=6.00); keylogger_site_count=1 (z=6.00); usb_executable_count=1 (z=6.00),2011-04,ITAdmin,1 - Adminstration,6 - Security,3 - ElectronicSecurity,2011-03
MYD0978,2010-12-08,3.4108393948764717,2.3796553917742824,3.4108393948764717,25,18,usb_file_count=15 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=4 (z=6.00),2010-12,HumanResourceSpecialist,1 - Adminstration,1 - Personnel,,2010-12
MGS0974,2011-04-30,3.1020193275802583,2.3796123100319937,3.1020193275802583,26,28,usb_file_count=7 (z=4.92); after_hours_device_count=1 (z=6.00); after_hours_file_count=7 (z=6.00),2011-04,HumanResourceSpecialist,1 - Adminstration,1 - Personnel,,2011-04
FTM0406,2010-11-22,3.386770050194613,2.362862825717172,3.386770050194613,27,20,usb_file_count=20 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=8 (z=6.00),2010-11,SystemsEngineer,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,2010-11
FMG0527,2010-12-30,3.361384105038091,2.3451517011893657,3.361384105038091,28,22,usb_file_count=11 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=5 (z=6.00),2010-12,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,2010-12
HFB0347,2010-06-05,2.878588672347316,2.3241955127885627,2.878588672347316,29,41,after_hours_device_count=2 (z=6.00); job_site_count=2 (z=5.43); after_hours_logon_count=1 (z=5.39),2010-06,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,2010-06
LIM0674,2011-01-05,3.3242290726392394,2.31922958556226,3.3242290726392394,30,23,usb_file_count=4 (z=7.98); after_hours_device_count=1 (z=6.00); file_count=4 (z=7.29),2011-01,Physicist,2 - ResearchAndEngineering,1 - Research,4 - Lab,2011-01
AAM0658,2010-10-27,3.243926875568649,2.2632047969083597,3.243926875568649,31,25,usb_file_count=9 (z=7.11); after_hours_file_count=9 (z=7.11); after_hours_logon_count=1 (z=5.39),2010-10,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,2010-10
JMB0308,2010-07-12,3.2210634302665473,2.247253555999917,3.2210634302665473,32,26,usb_file_count=10 (z=6.00); after_hours_device_count=3 (z=6.00); after_hours_file_count=8 (z=6.00),2010-07,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,2010-07
GCL0016,2011-01-01,2.5205795568798233,2.246915969916156,3.09803585190123,33,29,usb_executable_count=1 (z=6.00); after_hours_file_count=5 (z=7.68); after_hours_device_count=2 (z=5.14),2011-01,AdministrativeAssistant,1 - Adminstration,1 - Personnel,,2011-01
JTM0223,2010-07-22,2.517687233786027,2.2448980700832744,2.517687233786027,34,56,usb_file_count=1 (z=6.00); usb_executable_count=1 (z=6.00); after_hours_device_count=1 (z=6.00),2010-07,ITAdmin,1 - Adminstration,6 - Security,2 - ElectronicSecurity,2010-06
LQC0479,2010-09-14,3.0907647261839055,2.242799874770306,3.0907647261839055,35,31,usb_file_count=22 (z=6.00); after_hours_logon_count=2 (z=6.00); after_hours_device_count=7 (z=6.00),2010-09,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,2010-09
PNH0761,2011-02-25,2.507505606528073,2.2377946092056327,2.507505606528073,36,58,usb_executable_count=1 (z=6.00); after_hours_device_count=1 (z=6.00); after_hours_file_count=2 (z=6.00),2011-02,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,2011-02
BLS0678,2010-09-17,3.1696493295367376,2.211383253165166,3.1696493295367376,37,27,usb_file_count=5 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00),2010-09,Mathematician,2 - ResearchAndEngineering,1 - Research,4 - Lab,2010-09
NGC0058,2011-03-05,3.0977275101845145,2.161205239663615,3.0977275101845145,38,30,usb_file_count=8 (z=6.16); after_hours_device_count=1 (z=7.68); after_hours_file_count=8 (z=6.00),2011-03,Mathematician,2 - ResearchAndEngineering,1 - Research,1 - Lab,2011-03
ILJ0526,2010-04-17,3.0754630523730566,2.1456718970044584,3.0754630523730566,39,32,after_hours_logon_count=2 (z=10.00); after_hours_file_count=7 (z=10.00); after_hours_device_count=1 (z=7.68),2010-04,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,2010-04
EHB0824,2010-07-20,3.0362376052494553,2.118305305987992,3.0362376052494553,40,33,usb_file_count=14 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=9 (z=6.00),2010-07,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,2010-07
AHM0410,2010-05-22,3.0327084504077617,2.1158431049356476,3.0327084504077617,41,34,after_hours_device_count=1 (z=7.68); after_hours_logon_count=2 (z=7.68); after_hours_file_count=7 (z=8.22),2010-05,SystemsEngineer,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,2010-05
MCD0125,2010-03-27,2.3316595083870757,2.1151112849212157,2.3316595083870757,42,71,usb_executable_count=1 (z=6.00); after_hours_file_count=13 (z=10.00); after_hours_device_count=1 (z=7.68),2010-03,MechanicalEngineer,3 - Manufacturing,2 - ManufacturingEngineering,,2010-03
EHD0584,2010-10-01,3.009174489610817,2.0994240625191747,3.009174489610817,43,35,usb_file_count=7 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=1 (z=6.00),2010-10,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,2010-09
BJM0111,2011-03-06,2.7202555662398,2.0982598064793483,2.7202555662398,44,46,after_hours_device_count=8 (z=8.69); after_hours_file_count=21 (z=7.37); after_hours_http_count=1 (z=7.68),2011-03,Technician,2 - ResearchAndEngineering,3 - Engineering,5 - TestAndEvalualtion,2011-03
RUM0880,2011-03-01,2.4680456715953096,2.0766864290756195,2.4680456715953096,45,60,after_hours_device_count=2 (z=10.00); after_hours_file_count=10 (z=8.00); usb_executable_count=1 (z=4.36),2011-03,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,2011-03
ATP0662,2011-01-15,2.605474464347792,2.074075753566093,2.605474464347792,46,52,after_hours_file_count=6 (z=10.00); after_hours_device_count=1 (z=7.68); leak_site_count=1 (z=3.15),2011-01,Manager,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,2011-01
IBS0836,2010-05-08,2.9372170411834237,2.049221191523319,2.9372170411834237,47,38,after_hours_device_count=2 (z=8.64); external_attachment_email_count=1 (z=5.39); after_hours_file_count=4 (z=6.55),2010-05,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,2010-05
FOB0756,2010-05-02,2.9360600265480024,2.048413972010234,2.9360600265480024,48,39,usb_file_count=5 (z=5.86); after_hours_device_count=1 (z=7.68); after_hours_file_count=5 (z=6.00),2010-05,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,2010-05
RAB0589,2010-09-11,2.915831624764593,2.0343011335566925,2.915831624764593,49,40,usb_file_count=2 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00),2010-09,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,2010-09
HRB0351,2010-08-29,2.6532787228795187,2.029022911851434,2.6532787228795187,50,50,after_hours_device_count=1 (z=7.68); after_hours_file_count=27 (z=8.42); after_hours_logon_count=1 (z=3.15),2010-08,ChiefEngineer,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,2010-08
