dataset,scenario,details,user,start,end,answer_event_count,answer_event_types,peak_date,generic_score,hybrid_score,generic_peak_score,hybrid_rank,generic_rank,top_reasons,answer_period_peak_score,answer_period_peak_date,answer_period_top_reasons,answer_period_user_percentile,overall_peak_in_answer_period,peak_days_from_incident_end,ldap_last_present_month,ldap_first_absent_month,absence_month_offset_from_incident_end
4.2,1,r4.2-1-FMG0527.csv,FMG0527,2011-01-05 21:53:29,2011-01-12 01:15:35,10,device:4;http:2;logon:4,2010-12-30,3.361384105038091,2.3451517011893657,3.361384105038091,28,22,usb_file_count=11 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=5 (z=6.00),2.22094312343462,2011-01-07,usb_file_count=12 (z=7.93); after_hours_device_count=5 (z=7.16); after_hours_file_count=12 (z=7.93),0.9974293059125964,False,-13,2010-12,2011-01,0
4.2,1,r4.2-1-FTM0406.csv,FTM0406,2010-11-25 06:35:11,2010-12-02 00:35:19,10,device:4;http:2;logon:4,2010-11-22,3.386770050194613,2.362862825717172,3.386770050194613,27,20,usb_file_count=20 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=8 (z=6.00),2.312529938331112,2010-12-01,usb_file_count=13 (z=6.64); after_hours_device_count=8 (z=7.32); after_hours_logon_count=1 (z=5.39),0.9971509971509972,False,-10,2010-11,2010-12,0
4.2,1,r4.2-1-GHL0460.csv,GHL0460,2010-11-09 06:28:40,2010-11-09 07:08:45,5,device:2;http:1;logon:2,2010-11-12,3.886217479960831,2.7113145209029055,3.886217479960831,14,11,usb_file_count=19 (z=7.33); after_hours_device_count=6 (z=8.56); after_hours_file_count=19 (z=7.33),1.1066175070225817,2010-11-09,after_hours_logon_count=1 (z=7.68); after_hours_device_count=1 (z=3.23); http_domain_count=3 (z=4.25),0.9938461538461538,False,3,2010-10,2010-11,0
4.2,1,r4.2-1-HJB0742.csv,HJB0742,2010-11-19 05:53:16,2010-11-25 04:51:16,10,device:4;http:2;logon:4,2010-11-16,3.3884688851482316,2.524499377949533,3.3884688851482316,21,19,usb_file_count=3 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=3 (z=6.00),1.8280380427895657,2010-11-23,usb_file_count=2 (z=6.06); after_hours_logon_count=1 (z=5.39); after_hours_file_count=2 (z=6.06),0.9971014492753624,False,-9,2010-11,2010-12,1
4.2,1,r4.2-1-JMB0308.csv,JMB0308,2010-07-14 00:56:15,2010-07-21 01:46:49,15,device:6;http:3;logon:6,2010-07-12,3.2210634302665473,2.247253555999917,3.2210634302665473,32,26,usb_file_count=10 (z=6.00); after_hours_device_count=3 (z=6.00); after_hours_file_count=8 (z=6.00),1.094786292295087,2010-07-20,after_hours_http_count=3 (z=10.00); after_hours_logon_count=1 (z=5.39); after_hours_device_count=1 (z=3.02),0.9954128440366973,False,-9,2010-07,2010-08,1
4.2,1,r4.2-1-JRG0207.csv,JRG0207,2011-01-19 20:25:05,2011-01-26 02:38:27,10,device:4;http:2;logon:4,2011-01-20,4.237444219396477,2.9563564321370768,4.237444219396477,3,3,usb_file_count=10 (z=8.00); after_hours_device_count=7 (z=7.28); after_hours_file_count=10 (z=8.00),2.9563564321370768,2011-01-20,usb_file_count=10 (z=8.00); after_hours_device_count=7 (z=7.28); after_hours_file_count=10 (z=8.00),1.0,True,-6,2011-01,2011-02,1
4.2,1,r4.2-1-KLH0596.csv,KLH0596,2011-02-12 07:11:50,2011-02-12 07:33:24,5,device:2;http:1;logon:2,2011-02-07,4.1791051061844495,2.915654725244965,4.1791051061844495,4,4,usb_file_count=26 (z=7.60); after_hours_logon_count=1 (z=7.68); after_hours_device_count=9 (z=7.68),0.46880814727239833,2011-02-12,after_hours_logon_count=1 (z=5.39); after_hours_device_count=1 (z=1.49); device_connect_count=1 (z=1.49),0.9784688995215312,False,-5,2011-01,2011-02,0
4.2,1,r4.2-1-KPC0073.csv,KPC0073,2010-07-07 20:05:29,2010-07-15 03:08:16,15,device:6;http:3;logon:6,2010-07-07,1.8289844041231353,1.276035630783583,1.8289844041231353,169,110,after_hours_logon_count=1 (z=7.68); after_hours_device_count=1 (z=4.80); after_hours_http_count=1 (z=6.00),1.276035630783583,2010-07-07,after_hours_logon_count=1 (z=7.68); after_hours_device_count=1 (z=4.80); after_hours_http_count=1 (z=6.00),1.0,True,-8,2010-07,2010-08,1
4.2,1,r4.2-1-LJR0523.csv,LJR0523,2010-07-31 07:43:15,2010-08-11 04:28:49,20,device:8;http:4;logon:8,2010-07-29,3.819410783452478,2.664705197757543,3.819410783452478,17,14,usb_file_count=3 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00),0.8814219018170181,2010-08-05,after_hours_logon_count=1 (z=5.39); after_hours_device_count=1 (z=4.02); device_connect_count=1 (z=4.02),0.9957446808510638,False,-13,2010-07,2010-08,0
4.2,1,r4.2-1-LQC0479.csv,LQC0479,2010-09-14 19:46:17,2010-09-22 01:08:02,15,device:6;http:3;logon:6,2010-09-14,3.0907647261839055,2.242799874770306,3.0907647261839055,35,31,usb_file_count=22 (z=6.00); after_hours_logon_count=2 (z=6.00); after_hours_device_count=7 (z=6.00),2.242799874770306,2010-09-14,usb_file_count=22 (z=6.00); after_hours_logon_count=2 (z=6.00); after_hours_device_count=7 (z=6.00),1.0,True,-8,2010-09,2010-10,1
4.2,1,r4.2-1-MAR0955.csv,MAR0955,2011-02-08 05:55:53,2011-02-11 06:29:08,15,device:6;http:3;logon:6,2011-02-15,3.384001086472271,2.8075092317172015,3.384001086472271,6,21,usb_file_count=24 (z=7.68); job_site_count=1 (z=7.68); after_hours_device_count=5 (z=6.38),0.952990130254776,2011-02-08,after_hours_logon_count=1 (z=7.68); after_hours_device_count=1 (z=2.89); external_email_count=1 (z=2.00),0.9929411764705882,False,4,2011-02,2011-03,1
4.2,1,r4.2-1-MAS0025.csv,MAS0025,2010-09-29 01:39:20,2010-09-30 22:39:20,10,device:4;http:2;logon:4,2010-09-28,3.9447111803482007,2.7521240793126984,3.9447111803482007,11,8,usb_file_count=20 (z=8.26); after_hours_logon_count=1 (z=7.68); after_hours_device_count=4 (z=6.89),0.7854426672188838,2010-09-29,after_hours_logon_count=1 (z=5.39); leak_site_count=2 (z=2.51); after_hours_device_count=1 (z=2.08),0.9894736842105263,False,-2,2010-09,2010-10,1
4.2,1,r4.2-1-MCF0600.csv,MCF0600,2010-09-20 23:52:19,2010-09-23 02:00:46,15,device:6;http:3;logon:6,2010-09-24,3.3082657938539306,2.7964645073399517,3.3082657938539306,8,24,usb_file_count=27 (z=7.68); usb_executable_count=1 (z=6.00); after_hours_device_count=8 (z=6.50),1.9527382935784365,2010-09-20,usb_file_count=27 (z=6.00); after_hours_device_count=10 (z=6.00); after_hours_file_count=27 (z=6.00),0.9965156794425087,False,1,2010-09,2010-10,1
4.2,1,r4.2-1-MYD0978.csv,MYD0978,2010-12-13 20:30:07,2010-12-18 07:02:34,15,device:6;http:3;logon:6,2010-12-08,3.4108393948764717,2.3796553917742824,3.4108393948764717,25,18,usb_file_count=15 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=4 (z=6.00),1.5817567418338367,2010-12-13,after_hours_logon_count=1 (z=7.68); after_hours_http_count=4 (z=10.00); after_hours_device_count=1 (z=3.23),0.997229916897507,False,-10,2010-12,2011-01,1
4.2,1,r4.2-1-PPF0435.csv,PPF0435,2011-02-09 03:00:27,2011-02-09 06:46:27,5,device:2;http:1;logon:2,2011-02-02,2.1732541888570767,1.8429249034259565,2.630082334369245,62,51,after_hours_device_count=9 (z=8.06); after_hours_logon_count=1 (z=7.68); job_site_count=3 (z=5.62),0.4762377909316293,2011-02-09,after_hours_logon_count=1 (z=5.39); after_hours_device_count=1 (z=1.17); logon_count=2 (z=1.76),0.9640287769784173,False,-7,2011-01,2011-02,0
4.2,1,r4.2-1-RAB0589.csv,RAB0589,2010-09-13 23:18:53,2010-09-23 07:30:03,10,device:4;http:2;logon:4,2010-09-11,2.915831624764593,2.0343011335566925,2.915831624764593,49,40,usb_file_count=2 (z=6.00); after_hours_logon_count=1 (z=6.00); after_hours_device_count=2 (z=6.00),0.9044975640695335,2010-09-13,after_hours_logon_count=1 (z=7.68); after_hours_device_count=1 (z=4.80); device_connect_count=1 (z=4.80),0.9964028776978417,False,-12,2010-09,2010-10,1
4.2,1,r4.2-1-RGG0064.csv,RGG0064,2010-10-20 20:12:23,2010-10-27 03:03:52,15,device:6;http:3;logon:6,2010-10-18,2.529589366740882,1.7648297907494526,2.529589366740882,67,55,usb_file_count=12 (z=6.00); after_hours_device_count=3 (z=6.00); after_hours_file_count=12 (z=6.00),0.7665422000562858,2010-10-27,after_hours_logon_count=1 (z=5.39); after_hours_device_count=1 (z=3.02); device_connect_count=1 (z=3.02),0.9968354430379747,False,-9,2010-10,2010-11,1
4.2,1,r4.2-1-RKD0604.csv,RKD0604,2010-07-13 20:04:53,2010-07-20 03:36:55,10,device:4;http:2;logon:4,2010-07-15,4.009550685690361,2.797360943504903,4.009550685690361,7,6,usb_file_count=22 (z=7.22); after_hours_device_count=9 (z=7.35); after_hours_file_count=22 (z=7.22),2.797360943504903,2010-07-15,usb_file_count=22 (z=7.22); after_hours_device_count=9 (z=7.35); after_hours_file_count=22 (z=7.22),1.0,True,-5,2010-07,2010-08,1
4.2,1,r4.2-1-TAP0551.csv,TAP0551,2010-10-23 02:55:51,2010-10-29 05:56:18,10,device:4;http:2;logon:4,2010-11-02,3.6734148977614267,2.656173287435592,3.6734148977614267,18,15,usb_file_count=11 (z=7.96); after_hours_device_count=2 (z=7.04); after_hours_file_count=11 (z=7.96),1.9433690344099492,2010-10-29,leak_site_count=1 (z=6.00); after_hours_logon_count=2 (z=7.04); after_hours_http_count=2 (z=10.00),0.9937304075235109,False,4,2010-10,2010-11,1
4.2,1,r4.2-1-WDD0366.csv,WDD0366,2011-02-24 19:49:41,2011-03-03 01:01:02,10,device:4;http:2;logon:4,2011-02-28,3.919752496332389,2.7347110439528293,3.919752496332389,12,9,usb_file_count=4 (z=10.00); after_hours_file_count=4 (z=10.00); file_count=4 (z=10.00),2.7347110439528293,2011-02-28,usb_file_count=4 (z=10.00); after_hours_file_count=4 (z=10.00); file_count=4 (z=10.00),1.0,True,-3,2011-02,2011-03,0
4.2,2,r4.2-2-AAF0535.csv,AAF0535,2010-06-28 08:51:08,2010-08-20 15:38:04,221,device:88;email:11;http:122,2010-02-16,0.8202547493532127,1.0606428483859622,1.016251893500746,258,363,usb_executable_count=1 (z=6.00); external_attachment_email_count=2 (z=3.14); usb_file_count=3 (z=1.23),0.9072350758076468,2010-08-05,usb_executable_count=1 (z=7.68); usb_file_count=3 (z=0.98); device_connect_count=8 (z=2.55),0.9957081545064378,False,-185,2010-07,2010-08,0
4.2,2,r4.2-2-ABC0174.csv,ABC0174,2010-10-27 14:11:03,2010-12-24 15:53:02,247,device:94;email:10;http:143,2010-11-20,2.0549871166795257,1.4337119418694366,2.0549871166795257,125,94,after_hours_device_count=4 (z=7.29); after_hours_logon_count=2 (z=3.74); after_hours_email_count=11 (z=4.83),1.4337119418694366,2010-11-20,after_hours_device_count=4 (z=7.29); after_hours_logon_count=2 (z=3.74); after_hours_email_count=11 (z=4.83),1.0,True,-34,2010-11,2010-12,0
4.2,2,r4.2-2-AKR0057.csv,AKR0057,2010-10-04 08:48:26,2010-11-29 18:48:10,250,device:106;email:15;http:129,2010-03-22,0.7650798903534661,1.1389167484537723,0.9903454125948326,218,384,job_site_count=1 (z=6.00); leak_site_count=1 (z=3.15); external_attachment_email_count=1 (z=2.46),1.0123616315155022,2010-11-29,usb_executable_count=1 (z=7.68); usb_file_count=7 (z=1.53); file_count=7 (z=1.51),0.9969788519637462,False,-252,2010-10,2010-11,0
4.2,2,r4.2-2-CCL0068.csv,CCL0068,2010-12-27 09:20:16,2011-02-21 08:25:17,250,device:132;email:14;http:104,2010-06-15,0.4768206829254184,1.085159878188941,1.0053770008869345,237,372,usb_executable_count=1 (z=7.68); job_site_count=1 (z=2.19); usb_file_count=5 (z=1.50),0.9570662058294804,2011-02-21,usb_executable_count=1 (z=6.00); usb_file_count=9 (z=1.86); file_count=9 (z=1.86),0.9951807228915662,False,-251,2011-01,2011-02,0
4.2,2,r4.2-2-CEJ0109.csv,CEJ0109,2011-02-07 11:16:58,2011-04-01 17:23:43,204,device:70;email:14;http:120,2010-05-05,0.5011136522079512,0.974823713576248,0.7640174660831308,329,536,usb_executable_count=1 (z=7.68); usb_file_count=4 (z=1.37); file_count=4 (z=1.37),0.7316100145011412,2011-02-07,job_site_count=1 (z=6.00); usb_file_count=5 (z=1.87); file_count=5 (z=1.78),0.9934354485776805,False,-331,2011-03,2011-04,0
4.2,2,r4.2-2-CQW0652.csv,CQW0652,2011-02-18 09:22:22,2011-04-14 20:58:56,201,device:70;email:11;http:120,2010-08-24,1.7142643036517933,1.1959983513849721,1.7142643036517933,198,123,after_hours_file_count=5 (z=9.97); usb_file_count=5 (z=2.09); after_hours_device_count=1 (z=2.75),1.0281142218526031,2011-04-13,after_hours_device_count=2 (z=3.62); after_hours_file_count=4 (z=4.34); usb_file_count=10 (z=2.16),0.9957446808510638,False,-233,2011-03,2011-04,0
4.2,2,r4.2-2-DIB0285.csv,DIB0285,2010-07-26 16:23:45,2010-09-13 17:13:29,190,device:56;email:18;http:116,2010-07-07,0.76677558247696,0.9732870767274316,0.9694546037597555,331,392,leak_site_count=1 (z=5.39); usb_file_count=5 (z=1.69); external_attachment_email_count=1 (z=1.40),0.8153776708239631,2010-08-20,leak_site_count=1 (z=5.39); usb_file_count=5 (z=1.62); file_count=5 (z=1.59),0.9885496183206107,False,-68,2010-08,2010-09,0
4.2,2,r4.2-2-DRR0162.csv,DRR0162,2010-11-11 07:01:17,2011-01-04 15:43:53,222,device:98;email:15;http:109,2010-10-13,0.7799254872247156,1.0325061538777085,0.9411684350200664,281,411,usb_executable_count=1 (z=6.00); usb_file_count=5 (z=1.94); external_attachment_email_count=2 (z=1.48),0.7055466815415122,2010-11-24,job_site_count=3 (z=3.99); usb_file_count=4 (z=1.44); external_attachment_email_count=2 (z=1.52),0.986449864498645,False,-83,2010-12,2011-01,0
4.2,2,r4.2-2-EDB0714.csv,EDB0714,2010-10-18 10:58:12,2010-12-14 14:17:02,228,device:80;email:20;http:128,2010-10-22,0.7573955834845719,0.9749937645164809,1.3171702433918187,328,189,job_site_count=1 (z=7.68); external_attachment_email_count=1 (z=3.74); external_email_count=1 (z=2.11),0.9749937645164809,2010-10-22,job_site_count=1 (z=7.68); external_attachment_email_count=1 (z=3.74); external_email_count=1 (z=2.11),1.0,True,-53,2010-11,2010-12,0
4.2,2,r4.2-2-EGD0132.csv,EGD0132,2010-08-02 10:01:20,2010-09-28 17:24:42,260,device:100;email:13;http:147,2010-09-17,0.7237234454782359,0.9932954270778389,0.9111386704772064,315,430,leak_site_count=1 (z=6.00); usb_file_count=11 (z=2.43); file_count=11 (z=2.43),0.9932954270778389,2010-09-17,leak_site_count=1 (z=6.00); usb_file_count=11 (z=2.43); file_count=11 (z=2.43),1.0,True,-11,2010-08,2010-09,0
4.2,2,r4.2-2-FSC0601.csv,FSC0601,2011-01-18 08:42:08,2011-03-17 16:45:04,221,device:74;email:11;http:136,2010-06-11,0.5018571887124775,0.8385050153807982,0.8352717302055436,478,478,usb_executable_count=1 (z=6.00); external_attachment_email_count=1 (z=1.71); usb_file_count=3 (z=1.02),0.6193954745655637,2011-02-15,job_site_count=1 (z=7.68); external_email_count=4 (z=0.85); external_email_size=90527 (z=0.84),0.9931662870159453,False,-279,2011-02,2011-03,0
4.2,2,r4.2-2-HBO0413.csv,HBO0413,2011-02-14 08:15:24,2011-04-08 15:25:10,246,device:102;email:17;http:127,2011-01-21,0.2716006457256636,1.2910826948240703,0.7687466067104213,165,532,usb_executable_count=1 (z=7.68); leak_site_count=2 (z=4.39); job_site_count=1 (z=2.05),0.9696035260433404,2011-02-23,usb_executable_count=1 (z=5.39); leak_site_count=1 (z=3.15); usb_file_count=3 (z=0.93),0.9935344827586207,False,-77,2011-03,2011-04,0
4.2,2,r4.2-2-HXL0968.csv,HXL0968,2010-08-31 07:51:41,2010-10-28 16:06:01,263,device:128;email:10;http:125,2010-03-31,0.7534811194800791,1.1508940395800582,1.2674927000249283,213,207,usb_executable_count=1 (z=7.68); usb_file_count=5 (z=1.96); external_email_size=48156 (z=1.86),0.9330731615304052,2010-09-07,job_site_count=1 (z=7.68); external_email_size=34272 (z=2.58); external_email_count=1 (z=2.55),0.9933110367892977,False,-211,2010-09,2010-10,0
4.2,2,r4.2-2-IJM0776.csv,IJM0776,2010-07-06 08:33:06,2010-09-01 14:10:31,214,device:64;email:16;http:134,2010-03-29,1.0966001466493616,1.3902794073725808,1.0966001466493616,139,303,usb_executable_count=1 (z=7.68); external_attachment_email_count=2 (z=6.09); usb_file_count=4 (z=1.50),0.7834733907585135,2010-07-29,external_attachment_email_count=1 (z=3.32); job_site_count=1 (z=2.87); usb_file_count=5 (z=1.70),0.987603305785124,False,-156,2010-08,2010-09,0
4.2,2,r4.2-2-IKR0401.csv,IKR0401,2010-12-27 08:57:14,2011-02-17 18:21:57,215,device:92;email:13;http:110,2010-06-02,0.8111628653712103,1.0542996735147978,0.9965890390833576,262,380,usb_executable_count=1 (z=6.00); usb_file_count=5 (z=1.84); external_attachment_email_count=1 (z=1.56),0.787162002790657,2011-02-02,job_site_count=2 (z=3.28); usb_file_count=8 (z=2.18); file_count=8 (z=2.18),0.9903381642512077,False,-260,2011-01,2011-02,0
4.2,2,r4.2-2-IUB0565.csv,IUB0565,2010-10-06 09:20:43,2010-11-30 17:49:20,204,device:64;email:16;http:124,2010-06-04,0.8424562921748304,1.241500351027527,0.9469117771635225,183,408,usb_executable_count=1 (z=5.39); leak_site_count=1 (z=2.65); external_attachment_email_count=3 (z=3.46),1.1125970873136621,2010-11-16,usb_executable_count=1 (z=7.68); usb_file_count=4 (z=1.43); external_attachment_email_count=1 (z=1.45),0.9970059880239521,False,-179,2010-11,2010-12,1
4.2,2,r4.2-2-JJM0203.csv,JJM0203,2010-09-02 07:40:34,2010-10-19 17:04:21,213,device:62;email:15;http:136,2010-10-19,1.011315595652772,0.8318377306082851,1.011315595652772,494,368,usb_file_count=9 (z=2.23); job_site_count=1 (z=2.17); external_email_count=6 (z=2.00),0.8318377306082851,2010-10-19,usb_file_count=9 (z=2.23); job_site_count=1 (z=2.17); external_email_count=6 (z=2.00),1.0,True,0,2010-09,2010-10,0
4.2,2,r4.2-2-KRL0501.csv,KRL0501,2010-11-22 09:38:30,2011-01-19 17:06:28,221,device:88;email:14;http:119,2010-12-28,0.6016266336826839,0.9081116048948957,0.8293238287160497,388,484,usb_executable_count=1 (z=6.00); usb_file_count=5 (z=1.45); file_count=5 (z=1.45),0.9081116048948957,2010-12-28,usb_executable_count=1 (z=6.00); usb_file_count=5 (z=1.45); file_count=5 (z=1.45),1.0,True,-22,2010-12,2011-01,0
4.2,2,r4.2-2-LCC0819.csv,LCC0819,2010-06-16 11:39:58,2010-08-10 18:31:17,205,device:74;email:18;http:113,2010-07-28,1.09225680711783,1.3872491704901169,1.3542772010505824,140,180,usb_executable_count=1 (z=7.68); after_hours_device_count=1 (z=5.39); usb_file_count=5 (z=1.62),1.3872491704901169,2010-07-28,usb_executable_count=1 (z=7.68); after_hours_device_count=1 (z=5.39); usb_file_count=5 (z=1.62),1.0,True,-13,2010-07,2010-08,0
4.2,2,r4.2-2-MDH0580.csv,MDH0580,2011-01-04 09:13:35,2011-03-03 11:40:25,222,device:84;email:9;http:129,2010-08-11,1.344251805051701,0.9378500965476985,1.344251805051701,360,184,external_attachment_email_count=1 (z=5.39); external_email_count=1 (z=2.75); external_email_size=32466 (z=2.75),0.7814961374923595,2011-02-08,usb_executable_count=1 (z=6.00); usb_file_count=4 (z=1.38); file_count=4 (z=1.36),0.9905882352941177,False,-204,2011-02,2011-03,0
4.2,2,r4.2-2-MOS0047.csv,MOS0047,2010-07-15 07:23:37,2010-09-10 19:34:22,350,device:208;email:13;http:129,2010-06-02,1.2880908617474978,1.2534621431352857,1.3435998016021706,177,185,usb_executable_count=1 (z=4.36); usb_file_count=28 (z=1.69); after_hours_device_count=5 (z=1.88),0.8671432216463567,2010-07-28,job_site_count=1 (z=7.68); external_attachment_email_count=2 (z=1.54); external_email_count=4 (z=1.29),0.98,False,-100,2010-08,2010-09,0
4.2,2,r4.2-2-NWT0098.csv,NWT0098,2011-02-07 16:40:17,2011-04-05 14:00:24,210,device:70;email:10;http:130,2010-06-03,0.4764939472289235,0.9996607526861565,0.9791607488991462,305,391,usb_executable_count=1 (z=6.00); job_site_count=2 (z=3.08); usb_file_count=5 (z=1.36),0.8955599573898223,2011-03-22,leak_site_count=1 (z=2.56); usb_file_count=9 (z=2.11); external_attachment_email_count=2 (z=1.85),0.9912663755458515,False,-306,2011-03,2011-04,0
4.2,2,r4.2-2-PNL0301.csv,PNL0301,2010-06-14 09:25:31,2010-08-03 16:54:30,192,device:65;email:13;http:114,2010-06-16,0.9268328903020429,1.2718371355023583,1.2390047217309539,170,220,usb_executable_count=1 (z=7.68); external_attachment_email_count=1 (z=2.75); usb_file_count=5 (z=1.74),1.2718371355023583,2010-06-16,usb_executable_count=1 (z=7.68); external_attachment_email_count=1 (z=2.75); usb_file_count=5 (z=1.74),1.0,True,-48,2010-07,2010-08,0
4.2,2,r4.2-2-PSF0133.csv,PSF0133,2010-08-02 10:46:58,2010-09-29 16:23:30,226,device:84;email:14;http:128,2010-08-09,0.8045070236510513,0.8147083271717028,0.8580929877331265,520,458,job_site_count=1 (z=4.36); external_email_count=2 (z=3.81); external_email_size=38853 (z=2.33),0.8147083271717028,2010-08-09,job_site_count=1 (z=4.36); external_email_count=2 (z=3.81); external_email_size=38853 (z=2.33),1.0,True,-51,2010-08,2010-09,0
4.2,2,r4.2-2-RAR0725.csv,RAR0725,2010-07-06 08:07:33,2010-08-19 09:58:36,227,device:64;email:14;http:149,2010-08-04,0.9342686290301271,1.140187415602414,1.3535049914606008,217,181,usb_executable_count=1 (z=6.00); usb_file_count=8 (z=2.30); external_email_size=40537 (z=2.40),1.140187415602414,2010-08-04,usb_executable_count=1 (z=6.00); usb_file_count=8 (z=2.30); external_email_size=40537 (z=2.40),1.0,True,-15,2010-08,2010-09,1
